,Make,Year,Sales,YOY_Change,US_Share,Share_Change
0,kia,2007,"305,473",3.80,1.91,6.13
1,kia,2008,"273,397",-10.50,2.08,8.47
2,kia,2009,"300,063",9.75,2.90,28.11
3,kia,2010,"356,269",18.73,3.10,6.31
4,mitsubishi,2007,"128,993",8.80,0.81,10.45
5,mitsubishi,2008,"97,258",-24.60,0.74,-8.65
6,mitsubishi,2009,"53,988",-44.49,0.52,-42.15
7,mitsubishi,2010,"55,683",3.14,0.48,-7.85
8,subaru,2007,"257,115",-0.96,1.61,1.63
9,subaru,2008,"228,155",-11.26,1.74,7.68
10,subaru,2009,"210,054",-7.93,2.03,14.29
11,subaru,2010,"263,996",25.68,2.29,11.49
12,lexus,2007,"331,383",1.60,2.07,4.11
13,lexus,2008,"261,518",-21.08,1.99,-3.81
14,lexus,2009,"215,975",-17.41,2.09,4.45
15,lexus,2010,"228,729",5.91,1.99,-5.03
16,dodge,2007,"684,231",-1.04,4.27,1.54
17,dodge,2008,"523,673",-23.47,3.99,-7.04
18,dodge,2009,"338,254",-35.41,3.27,-22.16
19,dodge,2010,"396,778",17.30,3.45,5.17
20,nissan,2007,"941,197",4.80,5.88,7.03
21,nissan,2008,"836,443",-11.13,6.38,7.82
22,nissan,2009,"688,014",-17.75,6.65,4.07
23,nissan,2010,"805,159",17.03,7.00,4.95
24,buick,2007,"186,091",-22.67,1.16,-26.00
25,buick,2008,"137,197",-26.27,1.05,-11.11
26,buick,2009,"102,306",-25.43,0.99,-5.82
27,buick,2010,"155,389",51.89,1.35,26.76
28,chrysler,2007,"543,011",-10.23,3.39,-8.53
29,chrysler,2008,"334,208",-38.45,2.55,-33.10
30,chrysler,2009,"177,015",-47.03,1.71,-48.98
31,chrysler,2010,"198,446",12.11,1.72,0.78
32,hyundai,2007,"467,009",2.52,2.92,4.97
33,hyundai,2008,"401,742",-13.98,3.06,4.77
34,hyundai,2009,"434,066",8.05,4.19,26.97
35,hyundai,2010,"538,031",23.95,4.67,10.26
36,volkswagen,2007,"210,526",-5.82,1.32,-3.45
37,volkswagen,2008,"203,057",-3.55,1.55,15.07
38,volkswagen,2009,"205,772",1.34,1.99,22.13
39,volkswagen,2010,"256,218",24.52,2.23,10.66
40,ford,2007,"2,056,075",-13.71,12.84,-12.90
41,ford,2008,"1,653,644",-19.57,12.61,-1.86
42,ford,2009,"1,419,615",-14.15,13.72,8.09
43,ford,2010,"1,728,712",21.77,15.02,8.65
44,bmw,2007,"293,795",7.06,1.84,8.99
45,bmw,2008,"249,113",-15.21,1.90,3.39
46,bmw,2009,"191,947",-22.95,1.85,-2.41
47,bmw,2010,"220,112",14.67,1.91,3.00
48,toyota,2007,"2,158,165",5.43,13.48,7.59
49,toyota,2008,"1,840,667",-14.71,14.04,3.95
50,toyota,2009,"1,507,380",-18.11,14.57,3.65
51,toyota,2010,"1,489,337",-1.20,12.94,-12.58
52,mini,2007,"42,011",7.25,0.26,9.16
53,mini,2008,"54,077",28.72,0.41,36.36
54,mini,2009,"45,225",-16.37,0.44,5.65
55,mini,2010,"45,644",0.93,0.40,-10.22
56,honda,2007,"1,361,428",4.07,8.50,6.39
57,honda,2008,"1,280,103",-5.97,9.76,12.88
58,honda,2009,"1,045,061",-18.36,10.10,3.35
59,honda,2010,"1,096,872",4.96,9.53,-5.98
60,mercedes-benz,2007,"269,763",-0.05,1.69,2.52
61,mercedes-benz,2008,"238,605",-11.55,1.82,7.38
62,mercedes-benz,2009,"197,307",-17.31,1.91,4.58
63,mercedes-benz,2010,"225,029",14.05,1.96,2.47
64,volvo,2007,"62,194",-3.46,0.39,-0.92
65,volvo,2008,"38,984",-37.32,0.30,-30.69
66,volvo,2009,"34,245",-12.16,0.33,10.17
67,volvo,2010,"30,810",-10.03,0.27,-23.64
68,audi,2007,"93,599",3.87,0.58,6.20
69,audi,2008,"87,761",-6.24,0.67,12.63
70,audi,2009,"82,761",-5.70,0.80,16.33
71,audi,2010,"101,629",22.80,0.88,9.42
72,chevrolet,2007,"2,215,190",-5.24,13.84,-2.82
73,chevrolet,2008,"1,776,392",-19.81,13.55,-2.16
74,chevrolet,2009,"1,349,600",-24.03,13.04,-3.86
75,chevrolet,2010,"1,551,963",14.99,13.48,3.27
76,infiniti,2007,"127,035",4.86,0.79,7.09
77,infiniti,2008,"113,090",-10.98,0.86,7.98
78,infiniti,2009,"81,089",-28.30,0.78,-10.05
79,infiniti,2010,"103,411",27.53,0.90,12.77
80,mazda,2007,"296,110",10.17,1.85,11.56
81,mazda,2008,"263,849",-10.89,2.01,8.06
82,mazda,2009,"207,677",-21.29,2.01,-0.25
83,mazda,2010,"229,576",10.54,1.99,-0.63
84,acura,2007,"179,654",-10.72,1.12,-9.13
85,acura,2008,"144,470",-19.58,1.10,-1.87
86,acura,2009,"105,723",-26.82,1.02,-7.83
87,acura,2010,"133,596",26.36,1.16,11.97
88,cadillac,2007,"198,357",-5.92,1.24,-3.56
89,cadillac,2008,"150,105",-24.33,1.14,-8.25
90,cadillac,2009,"102,504",-31.71,0.99,-15.55
91,cadillac,2010,"138,241",34.86,1.20,17.52
92,gmc,2007,"484,914",6.21,3.03,8.27
93,gmc,2008,"361,739",-25.40,2.76,-9.81
94,gmc,2009,"253,053",-30.05,2.45,-12.80
95,gmc,2010,"333,204",31.67,2.89,15.52
96,jeep,2007,"475,147",2.82,2.97,5.24
97,jeep,2008,"333,890",-29.73,2.55,-16.58
98,jeep,2009,"231,701",-30.61,2.24,-13.71
99,jeep,2010,"291,138",25.65,2.53,11.47
